Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6",C5B5_116,4,330pF,
"C10, C12, C16, C24",C0603_348,4,22pF,
"C11, C29",C0603_348,2,33pF,
"C13, C14, C15, C20, C21, C22, C23, C25, C26, C27, C8, C9",C0603_348,12,100n,
"C17, C28",C0603_348,2,4.7pF,
"C18, C19",C0603_348,2,47pF,
"C30, C31",C0603_348,2,0.47uF,
"C4, C5, C7",PANASONIC_C_348,3,10uF,
"CV1, CV2, IN1, IN2, OUT0, RES_CV0",OG-PJ301_WQP_PJ_301M6_NO_HOLE,6,OG-PJ301_PJ301_THONKICONN,
"D1, D2",DO-214AC_467,2,1N4007,
"D3, D4, D5, D6",SOD323-R_210,4,1N914BWS,
"FM_1, FM_2, LEVEL_1",OG-POTS_ALPS_POT_VERTICAL,3,50K,
"FREQ0, RES0",OG-POTS_ALPS_POT_VERTICAL_PS,2,50k,
"IC1, IC2",TL072_TSSOP8,2,TL072TL072_TSSOP8,
IC3,TSSOP14,1,TL074TSSOP14,
"IC4, IC5, IC6",OTA_SO16,3,OTA_LM13700M,
IC7,TSSOP16,1,DG409DQDG409DQ-T1-E3,
IC8,SO14_80,1,40106D,
LED1,LED-TRICOLOR-THROUGHHOLE,1,LED-TRICOLOR-THROUGHHOLE,
"P1, P2",R1206_334,2,4.7R,
PCB1,EURORACK8HPPCB-S,1,EURORACK_PCB,
POWER!0,2X05_SMT_HEADER,1,POWER_SIMPLE,
"Q1, Q2",SOT65P210X110-6N,2,BCM857BS,
"Q3, Q4, Q5, Q6",SOT23,4,MMBFJ112MMBFJ112,
"R1, R11, R14, R17, R18, R19, R27, R32, R34, R36, R45, R62, R64, R69, R74, R8, R9",R0603_334,17,100k,
"R10, R16",R0603_334,2,1.5M,
"R12, R31",R0603_334,2,1.5k,
"R13, R15, R38, R55, R61, R70, R75",R0603_334,7,33k,
"R2, R28",R0603_334,2,1.0k,
R20,R0603_334,1,5.6k,
R21,R0603_334,1,1.8k,
R22,R0805_348,1,10k NTC,
R23,R0603_334,1,150k,
R24,R0603_334,1,820,
R25,R0603_334,1,270k,
"R26, R35, R71",R0603_334,3,56k,
R29,R0603_334,1,110k,
"R3, R4, R49, R5, R68",R0603_334,5,47k,
R30,R0603_334,1,1.0M,
R33,R0603_334,1,4.7k,
"R37, R42, R50, R53, R58, R66",R0603_334,6,560,
"R39, R41, R52, R54, R57, R65",R0603_334,6,68k,
"R40, R43, R44, R51, R56, R59",R0603_334,6,18k,
R46,R0603_334,1,680K,
"R47, R48",R0603_334,2,200k,
R6,R0603_334,1,8.2k,
"R60, R63, R67, R72, R73",R0603_334,5,10k,
R7,R0603_334,1,330k,
"R76, R77",R0603_334,2,330,
SW1,D6R,1,D6R,
"TR1, TR2",TC33X-2,2,100K,
"U1, U2",SOT23-5,2,TS321ILT,
U3,PW16-M,1,CD4027BPWRPW16-M,
U4,SOP65P640X120-16N,1,CD4052BPWR,
